input,output,label,label2
연체 시 책 반납하면 어떻게 되나요?,연체반납 시에는 [대출권수x연체일수] 만큼 광진정보 스마트 도서관 방문대출도 정지됩니다.,문의,문의_연체
반납 못 해서 연체되면 어떻게 됨?,연체반납 시에는 [대출권수x연체일수] 만큼 광진정보 스마트 도서관 방문대출도 정지됩니다.,문의,문의_연체
몇 권 대출 가능함?,광진정보 스마트 도서관에서는 한번에 최대 2권까지 대출 가능합니다.,문의,문의_대출가능권수
대여 가능 권수 알려줘,광진정보 스마트 도서관에서는 한번에 최대 2권까지 대출 가능합니다.,문의,문의_대출가능권수
최대 몇 권 빌릴 수 있음?,광진정보 스마트 도서관에서는 한번에 최대 2권까지 대출 가능합니다.,문의,문의_대출가능권수
몇권까지 책 빌릴 수 있나요?,광진정보 스마트 도서관에서는 한번에 최대 2권까지 대출 가능합니다.,문의,문의_대출가능권수
내가 몇 권까지 빌릴 수 있어?,광진정보 스마트 도서관에서는 한번에 최대 2권까지 대출 가능합니다.,문의,문의_대출가능권수
빌릴 수 있는 최대 권수는?,광진정보 스마트 도서관에서는 한번에 최대 2권까지 대출 가능합니다.,문의,문의_대출가능권수
책 빌리고 싶은데 몇 권까지 가능함?,광진정보 스마트 도서관에서는 한번에 최대 2권까지 대출 가능합니다.,문의,문의_대출가능권수
1인당 빌릴 수 있는 책 개수,광진정보 스마트 도서관에서는 한번에 최대 2권까지 대출 가능합니다.,문의,문의_대출가능권수
책 빌리는데 제한있음?,광진정보 스마트 도서관에서는 한번에 최대 2권까지 대출 가능합니다.,문의,문의_대출가능권수
대출 방법,우측 상단의 버튼을 누르시면 이용 방법을 확인하실 수 있습니다.\n광진정보 스마트 도서관(02-3437-5092(내선 2번)),문의,문의_대출방법
대여 방법 알려줘,우측 상단의 버튼을 누르시면 이용 방법을 확인하실 수 있습니다.\n광진정보 스마트 도서관(02-3437-5092(내선 2번)),문의,문의_대출방법
대여 어떻게 함?,우측 상단의 버튼을 누르시면 이용 방법을 확인하실 수 있습니다.\n광진정보 스마트 도서관(02-3437-5092(내선 2번)),문의,문의_대출방법
책 대출하는 법,우측 상단의 버튼을 누르시면 이용 방법을 확인하실 수 있습니다.\n광진정보 스마트 도서관(02-3437-5092(내선 2번)),문의,문의_대출방법
대출하는 방법 알려줘,우측 상단의 버튼을 누르시면 이용 방법을 확인하실 수 있습니다.\n광진정보 스마트 도서관(02-3437-5092(내선 2번)),문의,문의_대출방법
책 빌리는 방법,우측 상단의 버튼을 누르시면 이용 방법을 확인하실 수 있습니다.\n광진정보 스마트 도서관(02-3437-5092(내선 2번)),문의,문의_대출방법
어떻게 대출함?,우측 상단의 버튼을 누르시면 이용 방법을 확인하실 수 있습니다.\n광진정보 스마트 도서관(02-3437-5092(내선 2번)),문의,문의_대출방법
책 어떻게 빌림?,우측 상단의 버튼을 누르시면 이용 방법을 확인하실 수 있습니다.\n광진정보 스마트 도서관(02-3437-5092(내선 2번)),문의,문의_대출방법
책 빌리고 싶은데 어떻게 해야 함?,우측 상단의 버튼을 누르시면 이용 방법을 확인하실 수 있습니다.\n광진정보 스마트 도서관(02-3437-5092(내선 2번)),문의,문의_대출방법
책 대여 방법 좀 알려줘,우측 상단의 버튼을 누르시면 이용 방법을 확인하실 수 있습니다.\n광진정보 스마트 도서관(02-3437-5092(내선 2번)),문의,문의_대출방법
책 빌리면 언제까지 볼 수 있음?,광진정보 스마트 도서관의 대출 기간은 대출일 포함 15일입니다.,문의,문의_대출기간
책 대출 기간 얼만큼임?,광진정보 스마트 도서관의 대출 기간은 대출일 포함 15일입니다.,문의,문의_대출기간
얼만큼 책 읽을 수 있음?,광진정보 스마트 도서관의 대출 기간은 대출일 포함 15일입니다.,문의,문의_대출기간
대출기간 좀,광진정보 스마트 도서관의 대출 기간은 대출일 포함 15일입니다.,문의,문의_대출기간
대여기간이 어느 정도임?,광진정보 스마트 도서관의 대출 기간은 대출일 포함 15일입니다.,문의,문의_대출기간
도서 대여 기간,광진정보 스마트 도서관의 대출 기간은 대출일 포함 15일입니다.,문의,문의_대출기간
대출 기간 정해져 있음?,광진정보 스마트 도서관의 대출 기간은 대출일 포함 15일입니다.,문의,문의_대출기간
책 빌려서 읽을 수 있는 기간이 어떻게 됨?,광진정보 스마트 도서관의 대출 기간은 대출일 포함 15일입니다.,문의,문의_대출기간
책 빌릴 수 있는 기간이 어느 정도임?,광진정보 스마트 도서관의 대출 기간은 대출일 포함 15일입니다.,문의,문의_대출기간
책 잃어버렸어,"광진정보 스마트 도서관의 자료 분실 혹은 훼손시 동일 도서로 변상하여야 합니다.\n동일 도서로 변상할 수 없는 경우에는 대체자료를 구입하여 변상하여야 하며,\n사전에 해당 자료실로 문의 바랍니다.",문의,문의_분실
책 찢어졌어,"광진정보 스마트 도서관의 자료 분실 혹은 훼손시 동일 도서로 변상하여야 합니다.\n동일 도서로 변상할 수 없는 경우에는 대체자료를 구입하여 변상하여야 하며,\n사전에 해당 자료실로 문의 바랍니다.",문의,문의_분실
책 훼손했는데,"광진정보 스마트 도서관의 자료 분실 혹은 훼손시 동일 도서로 변상하여야 합니다.\n동일 도서로 변상할 수 없는 경우에는 대체자료를 구입하여 변상하여야 하며,\n사전에 해당 자료실로 문의 바랍니다.",문의,문의_분실
훼손된 책 어떻게 해야 하나요?,"광진정보 스마트 도서관의 자료 분실 혹은 훼손시 동일 도서로 변상하여야 합니다.\n동일 도서로 변상할 수 없는 경우에는 대체자료를 구입하여 변상하여야 하며,\n사전에 해당 자료실로 문의 바랍니다.",문의,문의_분실
책이 없어졌는데 어떻게 해?,"광진정보 스마트 도서관의 자료 분실 혹은 훼손시 동일 도서로 변상하여야 합니다.\n동일 도서로 변상할 수 없는 경우에는 대체자료를 구입하여 변상하여야 하며,\n사전에 해당 자료실로 문의 바랍니다.",문의,문의_분실
