intent,label
자료 훼손됐는데 제가 물어줘야 하나요?,문의
책이 훼손되었던데 이거 내가 물어줘야해?,문의
영업시간이 언제야?,문의
몇시부터 몇시까지 해?,문의
안녕,예외 (negative)
안녕하세요,예외 (negative)
취업하고싶다,예외 (negative)
아 배고파,예외 (negative)
성능 구리네,예외 (negative)
챗봇 성능 구리네,예외 (negative)
아니 검색이 안되잖아,예외 (negative)
오늘 저녁 뭐먹지,예외 (negative)
오늘 점심 뭐먹지,예외 (negative)
저녁 메뉴 추천좀,예외 (negative)
점심 메뉴 추천좀,예외 (negative)
"안녕하세요, 어떻게 지내세요?",예외 (negative)
나 오늘 기분 안좋아,예외 (negative)
오늘은 비가 올 수 있습니다.,예외 (negative)
나는 정말로 해변에 가고 싶다.,예외 (negative)
주말에는 따뜻할 것이라고합니다.,예외 (negative)
이번 주말 날씨는 따뜻합니다.,예외 (negative)
"좋아, 영화 보러 가자.",예외 (negative)
나 너무 기분이 좋지 않아.,예외 (negative)
나 너무 화나,예외 (negative)
발표가 너무 지루해,예외 (negative)
내가 취업할 수 있을까,예외 (negative)
내가 결혼할 수 있을까,예외 (negative)
나도 결혼하고 싶다,예외 (negative)
챗봇 잘만들었네,예외 (negative)
챗봇 왜 만들었지,예외 (negative)
챗봇 성능 별로다,예외 (negative)
오늘 날씨 좋네,예외 (negative)
발표 참 재밌네,예외 (negative)
안뇽,예외 (negative)
새싹 챗봇아 안녕,예외 (negative)
이 팀 잘했다,예외 (negative)
임정민 바보,예외 (negative)
오늘 기분 짱 좋아,예외 (negative)
기분 좋다 오늘,예외 (negative)
챗봇 너무 별론데?,예외 (negative)
메롱,예외 (negative)
솔트룩스 가고 싶다,예외 (negative)
나도 솔트룩스 갈래,예외 (negative)
너 이름이 뭐니?,예외 (negative)
너 몇살이니?,예외 (negative)
너 몇살이야,예외 (negative)
챗봇 왜이리 멍청해,예외 (negative)
멍텅구리 챗봇아,예외 (negative)
왜이리 성능이 안좋음,예외 (negative)
아싸 곧 수료한다,예외 (negative)
나 언제 취업하냐,예외 (negative)
노력한게 보이네,예외 (negative)
노력한 흔적들이 보인다,예외 (negative)
챗봇 정확도가 아쉬워요,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
,예외 (negative)
